,systematic_number,title_de,token_count,outlier_tfidf,outlier_w2v,outlier_short,outlier_score,exclude
188,153.110,Verordnung betreffend die Zuständigkeiten,477,False,False,False,0,False
189,153.310,Verordnung über den Datenmarkt,165,False,False,False,0,False
190,153.600,Gesetz über das Archivwesen,422,False,False,False,0,False
191,153.610,Verordnung über die Registraturen und das Archivieren,752,False,False,False,0,False
192,153.800,Gesetz über die Verwaltungsgebühren,196,False,False,False,0,False
193,153.900,Vereinbarung über die Konferenz der Kantonsregierungen,216,False,False,False,0,False
194,154.112,Personalreglement der Gerichte,255,False,False,False,0,False
195,154.115,Medien- und Informationsreglement der Gerichte,368,False,False,False,0,False
196,154.200,Gesetz über das Sozialversicherungsgericht des Kantons Basel-Stadt und über das Schiedsgericht in Sozialversicherungssachen,414,False,False,False,0,False
197,154.800,Gesetz über die Gerichtsgebühren,88,False,False,False,0,False
198,160.100,Verordnung über die Personaldienste des Kantons Basel-Stadt,161,False,False,False,0,False
199,161.100,Gesetz über die Haftung des Staates und seines Personals,200,False,False,False,0,False
200,162.100,Personalgesetz,918,False,False,False,0,False
201,162.130,Verordnung betreffend den Wohnsitz von Beamten und Angestellten,50,False,False,False,0,False
202,162.320,Verordnung betreffend vorzeitige Pensionierung von Mitarbeiterinnen und Mitarbeitern des Kantons Basel-Stadt,171,False,False,False,0,False
203,162.420,Verordnung über den Schwangerschafts- und Mutterschaftsurlaub,245,False,False,False,0,False
204,162.500,Verordnung über den Schutz vor sexueller Belästigung am Arbeitsplatz,351,False,False,False,0,False
205,163.900,Reglement betreffend Parkieren von Motorfahrzeugen der Mitarbeiterinnen und Mitarbeiter auf Staatsarealen,126,False,False,False,0,False
206,164.170,Verordnung betreffend ad personam-Einreihung und ad personam-Einstufung,156,False,False,False,0,False
207,164.250,Verordnung über das Dienstaltersgeschenk gemäss § 23 Lohngesetz,134,False,False,False,0,False
208,164.340,Verordnung über die Ausrichtung von Unterhaltszulagen an die Mitarbeiterinnen und Mitarbeiter des Kantons Basel-Stadt,198,False,False,False,0,False
209,164.360,Verordnung betreffend Anwendbarkeit des Lohngesetzes auf nicht definitiv Beschäftigte oder nur nebenamtlich im Staatsdienst tätige Mitarbeiterinnen und Mitarbeiter,54,False,False,False,0,False
210,164.420,Verordnung über die Ausrichtung von Spesen und Entschädigungen an die Mitarbeitenden des Kantons Basel-Stadt,300,False,False,False,0,False
211,164.440,Verordnung betreffend Entschädigung der Stellvertretung bei Abwesenheit von Mitarbeitern und Mitarbeiterinnen des Kantons Basel-Stadt,61,False,False,False,0,False
212,164.560,Verordnung betreffend die Entschädigung für Lehraufträge am Kantonalen Lehrerseminar,182,False,False,False,0,False
213,164.720,Verordnung betreffend die Entschädigung für die Trainingsleiter am Hochschulsport der Universität Basel,33,False,False,False,0,False
214,166.500,Verordnung über die Zusammensetzung und die Wahl der Mitglieder der Vorsorgekommission des Kantons (Bereich Staat),169,False,False,False,0,False
215,169.300,Verordnung betreffend Personalausschüsse in den Departementen und Betrieben des Kantons Basel-Stadt,92,False,False,False,0,False
216,170.100,Gemeindegesetz,443,False,False,False,0,False
217,170.110,Verordnung über die Gemeindeaufsicht,5,False,False,True,1,False
218,171.700,Gesetz betreffend die Ausscheidung der Aktiven der Einwohnergemeinde der Stadt Basel,65,False,False,False,0,False
219,172.200,Ausscheidungsvertrag,389,False,False,False,0,False
220,172.400,Vereinbarung über die Genehmigungsanteile am Ertragsüberschuss des Stiftungsvermögens der Christoph Merian Stiftung,143,False,False,False,0,False
221,140.510,Verordnung zum Gesetz über die Rechte von Menschen mit Behinderungen,68,False,False,False,0,False
222,190.510,"Übereinkunft zwischen den hohen Ständen Lucern, Bern, Solothurn und Zug für die Organisation des Bisthums Basel",845,False,False,False,0,False
223,300.315,Vereinbarung zwischen dem Kanton Basel-Stadt und dem Kanton Basel-Landschaft über das Krebsregister beider Basel,129,False,False,False,0,False
224,310.170,Verordnung über die Gebühren im Gesundheitswesen,261,False,False,False,0,False
225,310.420,Verordnung über die Zulassung und Höchstzahlen von ambulanten Leistungserbringern,154,False,False,False,0,False
